Sim: 1
ID: 76
Description: Test run of cold flow MSSE simulation with Ma 0.1 initialisation
Variables: 3
time A Ma
0.000009900 0.060002032 0.103409098 
0.000019900 0.060002032 0.110416262 
0.000029900 0.060002032 0.120643559 
0.000039900 0.060002032 0.133592418 
0.000049900 0.060002032 0.148027601 
0.000059900 0.060002032 0.161790112 
0.000069900 0.060002032 0.173259228 
0.000079900 0.060002032 0.182572574 
0.000089900 0.060002032 0.190885268 
0.000099900 0.060002032 0.199197118 
0.000109900 0.060002032 0.208003497 
0.000119900 0.060002032 0.217493499 
0.000129900 0.060002032 0.227871763 
0.000139900 0.060002032 0.239694824 
0.000149900 0.060002032 0.254160413 
0.000159900 0.060002032 0.273178701 
0.000169900 0.060002032 0.299061345 
0.000179900 0.060002032 0.333731976 
0.000189900 0.060002032 0.377298077 
0.000199900 0.060002032 0.426505817 
0.000209900 0.060002032 0.475539918 
0.000219900 0.060002032 0.519758902 
0.000229900 0.060002032 0.557983061 
0.000239900 0.060002032 0.591397705 
0.000249900 0.060002032 0.621623280 
0.000259900 0.060002032 0.649765608 
0.000269900 0.060002032 0.676336653 
0.000279900 0.060002032 0.701471831 
0.000289900 0.060002032 0.725129270 
0.000299900 0.060002032 0.747201589 
0.000309900 0.060002032 0.767565879 
0.000319900 0.060002032 0.786107922 
0.000329900 0.060002032 0.802742003 
0.000339900 0.060002032 0.817432551 
0.000349900 0.060002032 0.830213982 
0.000359900 0.060002032 0.841201547 
0.000369900 0.060002032 0.850587486 
0.000379900 0.060002032 0.858622796 
0.000389900 0.060002032 0.865588697 
0.000399900 0.060002032 0.871762454 
0.000409900 0.060002032 0.877388081 
0.000419900 0.060002032 0.882658776 
0.000429900 0.060002032 0.887706725 
0.000439900 0.060002032 0.892602853 
0.000449900 0.060002032 0.897357880 
0.000459900 0.060002032 0.901933027 
0.000469900 0.060002032 0.906257560 
0.000479900 0.060002032 0.910254338 
0.000489900 0.060002032 0.913869189 
0.000499900 0.060002032 0.917076077 
0.000509900 0.060002032 0.919880804 
0.000519900 0.060002032 0.922339870 
0.000529900 0.060002032 0.924539534 
0.000539900 0.060002032 0.926567926 
0.000549900 0.060002032 0.928514951 
0.000559900 0.060002032 0.930464086 
0.000569900 0.060002032 0.932484328 
0.000579900 0.060002032 0.934623114 
0.000589900 0.060002032 0.936900759 
0.000599900 0.060002032 0.939306828 
0.000609900 0.060002032 0.941798832 
0.000619900 0.060002032 0.944303148 
0.000629900 0.060002032 0.946726580 
0.000639900 0.060002032 0.949008453 
0.000649900 0.060002032 0.951085916 
0.000659900 0.060002032 0.952898430 
0.000669900 0.060002032 0.954397514 
0.000679900 0.060002032 0.955552128 
0.000689900 0.060002032 0.956350560 
0.000699900 0.060002032 0.956799383 
0.000709900 0.060002032 0.956920408 
0.000719900 0.060002032 0.956810224 
0.000729900 0.060002032 0.956525836 
0.000739900 0.060002032 0.956071857 
0.000749900 0.060002032 0.955466028 
0.000759900 0.060002032 0.954728686 
0.000769900 0.060002032 0.953881215 
0.000779900 0.060002032 0.952945026 
0.000789900 0.060002032 0.951940874 
0.000799900 0.060002032 0.950888383 
0.000809900 0.060002032 0.949805686 
0.000819900 0.060002032 0.948709125 
0.000829900 0.060002032 0.947613002 
0.000839900 0.060002032 0.946529366 
0.000849900 0.060002032 0.945514509 
0.000859900 0.060002032 0.944575563 
0.000869900 0.060002032 0.943708835 
0.000879900 0.060002032 0.942909842 
0.000889900 0.060002032 0.942172791 
0.000899900 0.060002032 0.941490869 
0.000909900 0.060002032 0.940856581 
0.000919900 0.060002032 0.940262105 
0.000929900 0.060002032 0.939699662 
0.000939900 0.060002032 0.939161860 
0.000949900 0.060002032 0.938642016 
0.000959900 0.060002032 0.938134424 
0.000969900 0.060002032 0.937634573 
0.000979900 0.060002032 0.937139302 
0.000989900 0.060002032 0.936646876 
0.000999900 0.060002032 0.936157002 
0.001009900 0.060002032 0.935670761 
0.001019900 0.060002032 0.935190489 
0.001029900 0.060002032 0.934719589 
0.001039900 0.060002032 0.934262315 
0.001049900 0.060002032 0.933823506 
0.001059900 0.060002032 0.933408322 
0.001069900 0.060002032 0.933021966 
0.001079900 0.060002032 0.932669423 
0.001089900 0.060002032 0.932355227 
0.001099900 0.060002032 0.932083259 
0.001109900 0.060002032 0.931856589 
0.001119900 0.060002032 0.931677374 
0.001129900 0.060002032 0.931546801 
0.001139900 0.060002032 0.931465074 
0.001149900 0.060002032 0.931431464 
0.001159900 0.060002032 0.931444382 
0.001169900 0.060002032 0.931501490 
0.001179900 0.060002032 0.931599844 
0.001189900 0.060002032 0.931736036 
0.001199900 0.060002032 0.931906349 
0.001209900 0.060002032 0.932106909 
0.001219900 0.060002032 0.932333822 
0.001229900 0.060002032 0.932583291 
0.001239900 0.060002032 0.932851718 
0.001249900 0.060002032 0.933135771 
0.001259900 0.060002032 0.933432435 
0.001269900 0.060002032 0.933739028 
0.001279900 0.060002032 0.934053203 
0.001289900 0.060002032 0.934372916 
0.001299900 0.060002032 0.934696390 
0.001309900 0.060002032 0.935022058 
0.001319900 0.060002032 0.935348506 
0.001329900 0.060002032 0.935674406 
0.001339900 0.060002032 0.935998459 
0.001349900 0.060002032 0.936319343 
0.001359900 0.060002032 0.936635670 
0.001369900 0.060002032 0.936945959 
0.001379900 0.060002032 0.937248629 
0.001389900 0.060002032 0.937542002 
0.001399900 0.060002032 0.937824323 
0.001409900 0.060002032 0.938093792 
0.001419900 0.060002032 0.938348613 
0.001429900 0.060002032 0.938587043 
0.001439900 0.060002032 0.938807442 
0.001449900 0.060002032 0.939008334 
0.001459900 0.060002032 0.939188444 
0.001469900 0.060002032 0.939346750 
0.001479900 0.060002032 0.939482503 
0.001489900 0.060002032 0.939595253 
0.001499900 0.060002032 0.939684855 
0.001509900 0.060002032 0.939751461 
0.001519900 0.060002032 0.939795509 
0.001529900 0.060002032 0.939817698 
0.001539900 0.060002032 0.939818954 
0.001549900 0.060002032 0.939800399 
0.001559900 0.060002032 0.939763307 
