Sim: 4
Label: rocket
Time: 0.003000004367293673
Description: Test run of cold flow MSSE simulation with Ma 0.1 initialisation
Variables: 17
vel_x Ma p T rho u massf_H2 massf_O2 massf_OH massf_H2O massf_H massf_O dx dV A_c A_s pos_x
365.660365154 0.226522733 21613667.702664893 3571.095686847 9.888311603 -3261009.097409993 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.001250000 
366.368916969 0.226964182 21603865.048517261 3571.014424316 9.884051780 -3261267.969470473 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.003750000 
366.528136694 0.227063693 21601421.355979796 3570.986095569 9.883012160 -3261358.214027879 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.006250000 
366.572632950 0.227091791 21600515.890518907 3570.968854027 9.882645610 -3261413.138929757 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.008750000 
366.593179532 0.227104980 21599931.852290068 3570.953952272 9.882419641 -3261460.610133786 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.011250000 
366.608745008 0.227115067 21599414.956895851 3570.939566980 9.882222960 -3261506.436052943 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.013750000 
366.623290510 0.227124518 21598912.132960893 3570.925322096 9.882032327 -3261551.814655494 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.016250000 
366.637640248 0.227133846 21598412.369454142 3570.911143972 9.881842909 -3261596.980552761 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.018750000 
366.651962780 0.227143155 21597913.446493592 3570.897022106 9.881653717 -3261641.967206265 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.021250000 
366.666289657 0.227152466 21597414.981211156 3570.882959129 9.881464571 -3261686.766229196 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.023750000 
366.680623824 0.227161778 21596916.974238448 3570.868960353 9.881275455 -3261731.360702198 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.026250000 
366.694962281 0.227171091 21596419.505909730 3570.855031574 9.881086390 -3261775.732164736 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.028750000 
366.709300815 0.227180402 21595922.672758427 3570.841178602 9.880897404 -3261819.862106458 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.031250000 
366.723634995 0.227189708 21595426.574232791 3570.827407155 9.880708528 -3261863.732309493 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.033750000 
366.737960373 0.227199006 21594931.309906390 3570.813722830 9.880519791 -3261907.324950560 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.036250000 
366.752272536 0.227208293 21594436.978881370 3570.800131081 9.880331223 -3261950.622652684 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.038750000 
366.766567109 0.227217565 21593943.679650545 3570.786637210 9.880142856 -3261993.608525921 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.041250000 
366.780839762 0.227226821 21593451.510055307 3570.773246355 9.879954718 -3262036.266205353 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.043750000 
366.795086210 0.227236058 21592960.567263730 3570.759963476 9.879766842 -3262078.579887833 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.046250000 
366.809302214 0.227245272 21592470.947753157 3570.746793348 9.879579258 -3262120.534367684 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.048750000 
366.823483582 0.227254461 21591982.747293811 3570.733740546 9.879391997 -3262162.115071324 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.051250000 
366.837626170 0.227263623 21591496.060932886 3570.720809435 9.879205090 -3262203.308090638 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.053750000 
366.851725881 0.227272754 21591010.982978925 3570.708004163 9.879018571 -3262244.100214994 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.056250000 
366.865778670 0.227281851 21590527.606986396 3570.695328648 9.878832469 -3262284.478961725 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.058750000 
366.879780539 0.227290914 21590046.025740348 3570.682786572 9.878646819 -3262324.432605019 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.061250000 
