Sim: 4
ID: 150
Description: Test run of cold flow MSSE simulation with Ma 0.1 initialisation
Variables: 4
time A mass_flux Ma
0.000003139 0.060002032 1464.811587497 0.100436317 
0.000012276 0.060002032 1516.568380963 0.103866933 
0.000020803 0.060002032 1606.896640425 0.109842113 
0.000029201 0.060002032 1733.286560636 0.118161562 
0.000037545 0.060002032 1893.283483803 0.128621638 
0.000045824 0.060002032 2082.096520072 0.140871528 
0.000054047 0.060002032 2285.311588329 0.154016789 
0.000062243 0.060002032 2468.658616348 0.166095279 
0.000070432 0.060002032 2601.733878266 0.175460882 
0.000078622 0.060002032 2690.513546382 0.182513722 
0.000086812 0.060002032 2760.726135916 0.188706055 
0.000094998 0.060002032 2830.347166410 0.195035059 
0.000103175 0.060002032 2905.811273886 0.201849913 
0.000111338 0.060002032 2988.013818180 0.209189188 
0.000119485 0.060002032 3076.223001517 0.216999962 
0.000127613 0.060002032 3169.394655387 0.225212017 
0.000135719 0.060002032 3266.571147026 0.233761798 
0.000143802 0.060002032 3367.419211400 0.242628603 
0.000151857 0.060002032 3473.930320174 0.251947663 
0.000159881 0.060002032 3594.392473008 0.262268071 
0.000167870 0.060002032 3749.391423802 0.274927579 
0.000175817 0.060002032 3977.307905716 0.292343427 
0.000183719 0.060002032 4334.010503785 0.317819172 
0.000191573 0.060002032 4867.004210327 0.353764498 
0.000199382 0.060002032 5535.924714128 0.397441102 
0.000207153 0.060002032 6179.080917604 0.440427513 
0.000214890 0.060002032 6661.975902232 0.476733985 
0.000222599 0.060002032 6982.417189385 0.506710282 
0.000230281 0.060002032 7202.260729281 0.533168888 
0.000237933 0.060002032 7372.832835152 0.558186484 
0.000245556 0.060002032 7519.878294914 0.582640445 
0.000253145 0.060002032 7653.189876077 0.606710005 
0.000260699 0.060002032 7775.966059186 0.630310333 
0.000268214 0.060002032 7889.378168395 0.653297906 
0.000275685 0.060002032 7994.144815693 0.675536208 
0.000283063 0.060002032 8090.394839098 0.696791058 
0.000290312 0.060002032 8178.578321777 0.716916631 
0.000297452 0.060002032 8259.697298446 0.735938170 
0.000304494 0.060002032 8334.415482032 0.753869433 
0.000311443 0.060002032 8402.990442857 0.770704549 
0.000318299 0.060002032 8465.279600691 0.786427700 
0.000325064 0.060002032 8520.762501007 0.801020573 
0.000331742 0.060002032 8568.593022711 0.814463094 
0.000338335 0.060002032 8607.740695443 0.826737960 
0.000344846 0.060002032 8637.210689598 0.837838908 
0.000351280 0.060002032 8656.295464441 0.847780467 
0.000357640 0.060002032 8664.789980442 0.856605483 
0.000363928 0.060002032 8663.113450900 0.864388051 
0.000370150 0.060002032 8652.310900736 0.871231042 
0.000376307 0.060002032 8633.945584426 0.877258810 
0.000382403 0.060002032 8609.920812628 0.882607276 
0.000388442 0.060002032 8582.278397157 0.887413465 
0.000394426 0.060002032 8553.013839284 0.891806353 
0.000400359 0.060002032 8523.932917195 0.895900087 
0.000406244 0.060002032 8496.559146736 0.899789842 
0.000412083 0.060002032 8472.088844236 0.903550177 
0.000417879 0.060002032 8451.384492176 0.907235337 
0.000423635 0.060002032 8434.994104689 0.910880891 
0.000429353 0.060002032 8423.184983194 0.914506108 
0.000435035 0.060002032 8415.982603826 0.918116569 
0.000440684 0.060002032 8413.208529868 0.921706712 
0.000446302 0.060002032 8414.514397209 0.925262174 
0.000451890 0.060002032 8419.411599339 0.928761891 
0.000457450 0.060002032 8427.298602627 0.932180010 
0.000462984 0.060002032 8437.489456101 0.935487854 
0.000468495 0.060002032 8449.248497990 0.938656429 
0.000473986 0.060002032 8461.824686667 0.941657560 
0.000479461 0.060002032 8474.489961247 0.944465853 
0.000484921 0.060002032 8486.580945274 0.947060799 
0.000490368 0.060002032 8497.539486393 0.949428643 
0.000495804 0.060002032 8506.945219457 0.951563361 
0.000501229 0.060002032 8514.536683117 0.953467002 
0.000506645 0.060002032 8520.217197409 0.955149376 
0.000512052 0.060002032 8524.045042938 0.956627058 
0.000517450 0.060002032 8526.211537546 0.957922453 
0.000522841 0.060002032 8527.008371053 0.959062018 
0.000528224 0.060002032 8526.791272120 0.960073781 
0.000533600 0.060002032 8525.946454553 0.960985459 
0.000538969 0.060002032 8524.862140621 0.961823019 
0.000544331 0.060002032 8523.907445544 0.962609741 
0.000549687 0.060002032 8523.420514687 0.963366417 
0.000555038 0.060002032 8523.703443619 0.964112304 
0.000560382 0.060002032 8525.018117124 0.964862436 
0.000565722 0.060002032 8527.594533001 0.965629003 
0.000571057 0.060002032 8531.638033522 0.966421912 
0.000576388 0.060002032 8537.336938265 0.967249298 
0.000581715 0.060002032 8544.869027365 0.968117928 
0.000587039 0.060002032 8554.405708522 0.969033428 
0.000592360 0.060002032 8566.113151225 0.970000314 
0.000597678 0.060002032 8580.150129849 0.971021821 
0.000602993 0.060002032 8596.662757433 0.972099543 
0.000608307 0.060002032 8615.776690298 0.973232923 
0.000613619 0.060002032 8637.587706156 0.974418624 
0.000618929 0.060002032 8662.152064434 0.975649668 
