Sim: 5
ID: 0
Description: Finite volume test case for new fast chemsitry method
Variables: 25
time vel_x Ma p T rho u massf_H2 massf_O2 massf_OH massf_H2O massf_H massf_O conc_H2 conc_O2 conc_OH conc_H2O conc_H conc_O molef_H2 molef_O2 molef_OH molef_H2O molef_H molef_O
0.000000000 0.000000000 0.000000000 1000000.000000000 3000.000000000 0.515752363 5222328.277276525 0.100000000 0.900000000 0.000000000 0.000000000 0.000000000 0.000000000 25.584477375 14.506079174 0.000000000 0.000000000 0.000000000 0.000000000 0.638167179 0.361832821 0.000000000 0.000000000 0.000000000 0.000000000 
0.000001000 0.000000000 0.000000000 1526881.566824003 5609.787088025 0.515752363 5222328.277285108 0.038183033 0.387446845 0.042069667 0.526673236 0.000389846 0.005237374 9.768929351 6.244816228 1.275774454 15.077920844 0.199479907 0.168830594 0.298417752 0.190764408 0.038971901 0.460594922 0.006093641 0.005157376 
0.000002000 0.000000000 0.000000000 1613652.969329322 6432.497278678 0.515752363 5222328.276884214 0.016628789 0.208730610 0.056738452 0.710312839 0.000525776 0.007063534 4.254388736 3.364291950 1.720609501 20.335266764 0.269034250 0.227698182 0.141007853 0.111506403 0.057028040 0.673993958 0.008916896 0.007546850 
0.000003000 0.000000000 0.000000000 1634644.597724086 6715.191135663 0.515752363 5222328.277276524 0.009113289 0.146416112 0.061853142 0.774344009 0.000573172 0.007700276 2.331587317 2.359915239 1.875713891 22.168389938 0.293286350 0.248224041 0.079638556 0.080606135 0.064067576 0.757191704 0.010017597 0.008478432 
0.000004000 0.000000000 0.000000000 1640892.593901149 6813.415798400 0.515752363 5222328.277276510 0.006492796 0.124688390 0.063636523 0.796670297 0.000589698 0.007922295 1.661147917 2.009710734 1.929795448 22.807560467 0.301742534 0.255380965 0.057349509 0.069383300 0.066624303 0.787408744 0.010417366 0.008816778 
0.000005000 0.000000000 0.000000000 1642941.919867004 6847.625124815 0.515752363 5222328.275484550 0.005579087 0.117112402 0.064258350 0.804454993 0.000595461 0.007999708 1.427380153 1.887601973 1.948652521 23.030425450 0.304691024 0.257876430 0.049464552 0.065413118 0.067528768 0.798098302 0.010558788 0.008936472 
0.000006000 0.000000000 0.000000000 1643640.800809957 6859.548446319 0.515752363 5222328.277030492 0.005260496 0.114470818 0.064475168 0.807169348 0.000597470 0.008026700 1.345870374 1.845025281 1.955227576 23.108133665 0.305719098 0.258746545 0.046701250 0.064021758 0.067845741 0.801844483 0.010608350 0.008978418 
0.000007000 0.000000000 0.000000000 1643882.581161580 6863.705278387 0.515752363 5222328.277245463 0.005149410 0.113549755 0.064550768 0.808115785 0.000598170 0.008036112 1.317449671 1.830179706 1.957520156 23.135228844 0.306077566 0.259049936 0.045736037 0.063535760 0.067956458 0.803153013 0.010625662 0.008993070 
0.000008000 0.000000000 0.000000000 1643966.653285289 6865.154606528 0.515752363 5222328.277272711 0.005110677 0.113228600 0.064577127 0.808445788 0.000598415 0.008039393 1.307539985 1.825003375 1.958319529 23.144676348 0.306202555 0.259155721 0.045399279 0.063366198 0.067995087 0.803609552 0.010631702 0.008998182 
0.000009000 0.000000000 0.000000000 1643995.939282900 6865.659947548 0.515752363 5222328.277276061 0.005097172 0.113116620 0.064586319 0.808560852 0.000598500 0.008040537 1.304084691 1.823198499 1.958598253 23.147970490 0.306246137 0.259192606 0.045281834 0.063307063 0.068008559 0.803768772 0.010633808 0.008999965 
0.000010000 0.000000000 0.000000000 1644006.147257874 6865.836148038 0.515752363 5222328.277276468 0.005092462 0.113077575 0.064589523 0.808600973 0.000598530 0.008040936 1.302879904 1.822569178 1.958695438 23.149119086 0.306261333 0.259205467 0.045240880 0.063286442 0.068013256 0.803824292 0.010634543 0.009000587 
0.000011000 0.000000000 0.000000000 1644009.706142752 6865.897585225 0.515752363 5222328.277276516 0.005090821 0.113063961 0.064590641 0.808614962 0.000598540 0.008041076 1.302459821 1.822349747 1.958729324 23.149519576 0.306266631 0.259209952 0.045226600 0.063279252 0.068014895 0.803843652 0.010634799 0.009000803 
0.000012000 0.000000000 0.000000000 1644010.946998618 6865.919007033 0.515752363 5222328.277276522 0.005090248 0.113059214 0.064591030 0.808619840 0.000598544 0.008041124 1.302313347 1.822273237 1.958741140 23.149659219 0.306268479 0.259211515 0.045221621 0.063276745 0.068015466 0.803850402 0.010634888 0.009000879 
0.000013000 0.000000000 0.000000000 1644011.379652158 6865.926476353 0.515752363 5222328.277276517 0.005090048 0.113057559 0.064591166 0.808621541 0.000598545 0.008041141 1.302262275 1.822246559 1.958745260 23.149707909 0.306269123 0.259212061 0.045219885 0.063275870 0.068015665 0.803852755 0.010634919 0.009000905 
0.000014000 0.000000000 0.000000000 1644011.530508371 6865.929080744 0.515752363 5222328.277276526 0.005089979 0.113056982 0.064591214 0.808622134 0.000598545 0.008041147 1.302244467 1.822237257 1.958746696 23.149724886 0.306269347 0.259212251 0.045219279 0.063275566 0.068015734 0.803853576 0.010634930 0.009000915 
0.000015000 0.000000000 0.000000000 1644011.583108589 6865.929988839 0.515752363 5222328.277276523 0.005089955 0.113056781 0.064591230 0.808622340 0.000598545 0.008041149 1.302238258 1.822234014 1.958747197 23.149730806 0.306269426 0.259212317 0.045219068 0.063275459 0.068015758 0.803853862 0.010634934 0.009000918 
0.000016000 0.000000000 0.000000000 1644011.601449141 6865.930305472 0.515752363 5222328.277276534 0.005089946 0.113056711 0.064591236 0.808622412 0.000598545 0.008041150 1.302236093 1.822232883 1.958747372 23.149732870 0.306269453 0.259212340 0.045218994 0.063275422 0.068015767 0.803853962 0.010634935 0.009000919 
0.000017000 0.000000000 0.000000000 1644011.607844095 6865.930415875 0.515752363 5222328.277276520 0.005089943 0.113056686 0.064591238 0.808622438 0.000598545 0.008041150 1.302235338 1.822232488 1.958747432 23.149733590 0.306269462 0.259212348 0.045218969 0.063275409 0.068015770 0.803853997 0.010634936 0.009000919 
0.000018000 0.000000000 0.000000000 1644011.610073877 6865.930454370 0.515752363 5222328.277276512 0.005089942 0.113056678 0.064591239 0.808622446 0.000598545 0.008041150 1.302235075 1.822232351 1.958747454 23.149733841 0.306269466 0.259212351 0.045218960 0.063275405 0.068015771 0.803854009 0.010634936 0.009000919 
0.000019000 0.000000000 0.000000000 1644011.610851354 6865.930467793 0.515752363 5222328.275054512 0.005089942 0.113056675 0.064591239 0.808622449 0.000598545 0.008041150 1.302234983 1.822232303 1.958747461 23.149733928 0.306269467 0.259212352 0.045218957 0.063275403 0.068015771 0.803854013 0.010634936 0.009000919 
0.000020000 0.000000000 0.000000000 1644011.611122446 6865.930472473 0.515752363 5222328.276501720 0.005089942 0.113056674 0.064591239 0.808622450 0.000598545 0.008041150 1.302234951 1.822232286 1.958747464 23.149733959 0.306269467 0.259212352 0.045218956 0.063275403 0.068015771 0.803854015 0.010634936 0.009000919 
0.000021000 0.000000000 0.000000000 1644011.611216966 6865.930474105 0.515752363 5222328.277006386 0.005089942 0.113056673 0.064591239 0.808622451 0.000598545 0.008041150 1.302234940 1.822232281 1.958747465 23.149733969 0.306269467 0.259212352 0.045218955 0.063275403 0.068015771 0.803854015 0.010634936 0.009000919 
0.000022000 0.000000000 0.000000000 1644011.611249923 6865.930474674 0.515752363 5222328.277182344 0.005089942 0.113056673 0.064591239 0.808622451 0.000598545 0.008041150 1.302234936 1.822232278 1.958747465 23.149733973 0.306269468 0.259212353 0.045218955 0.063275402 0.068015771 0.803854015 0.010634936 0.009000919 
0.000023000 0.000000000 0.000000000 1644011.611261416 6865.930474872 0.515752363 5222328.277243682 0.005089942 0.113056673 0.064591239 0.808622451 0.000598545 0.008041150 1.302234935 1.822232278 1.958747465 23.149733974 0.306269468 0.259212353 0.045218955 0.063275402 0.068015771 0.803854015 0.010634936 0.009000919 
0.000024000 0.000000000 0.000000000 1644011.611265422 6865.930474941 0.515752363 5222328.277265080 0.005089942 0.113056673 0.064591239 0.808622451 0.000598545 0.008041150 1.302234934 1.822232278 1.958747465 23.149733975 0.306269468 0.259212353 0.045218955 0.063275402 0.068015771 0.803854015 0.010634936 0.009000919 
